userid	movieid	rating	timestamp	gender	occupation	agerange
196	242	3	881250949	F	clerical/admin	45
186	302	3	891717742	F	self-employed	56
22	377	1	878887116	F	doctor/health care	35
244	51	2	880606923	M	self-employed	18
166	346	1	886397596	M	K-12 student	25
298	474	4	884182806	M	college/grad student	50
115	265	2	881171488	M	homemaker	50
253	465	5	891628467	F	academic/educator	45
305	451	3	886324817	M	programmer	45
6	86	3	883603013	F	academic/educator	1
62	257	2	879372434	M	farmer	25
286	1014	5	879781125	M	self-employed	1
200	222	5	876042340	M	programmer	35
210	40	3	891035994	F	self-employed	25
224	29	3	888104457	F	K-12 student	1
303	785	3	879485318	F	retired	56
122	387	5	879270459	F	doctor/health care	1
194	274	2	879539794	M	executive/managerial	56
291	1042	4	874834944	F	unemployed	45
234	1184	2	892079237	M	K-12 student	35
119	392	4	886176814	F	sales/marketing	56
167	486	4	892738452	M	technician/engineer	56
299	144	4	877881320	M	technician/engineer	56
291	118	2	874833878	F	K-12 student	56
308	1	4	887736532	F	sales/marketing	56
95	546	2	879196566	M	programmer	35
38	95	5	892430094	F	doctor/health care	50
102	768	2	883748450	M	artist	35
63	277	4	875747401	M	customer service	45
160	234	5	876861185	F	technician/engineer	18
50	246	3	877052329	F	artist	1
301	98	4	882075827	M	academic/educator	35
225	193	4	879539727	F	sales/marketing	25
290	88	4	880731963	M	scientist	50
97	194	3	884238860	M	tradesman/craftsman	1
157	274	4	886890835	F	scientist	18
181	1081	1	878962623	M	technician/engineer	45
278	603	5	891295330	M	programmer	25
276	796	1	874791932	F	clerical/admin	1
7	32	4	891350932	M	self-employed	18
10	16	4	877888877	M	other	18
284	304	4	885329322	M	programmer	50
201	979	2	884114233	M	self-employed	35
276	564	3	874791805	M	lawyer	25
287	327	5	875333916	F	scientist	56
246	201	5	884921594	M	scientist	56
242	1137	5	879741196	M	customer service	25
249	241	5	879641194	F	technician/engineer	35
99	4	5	886519097	F	customer service	25
178	332	3	882823437	M	technician/engineer	35
251	100	4	886271884	M	self-employed	1
81	432	2	876535131	F	writer	35
260	322	4	890618898	F	K-12 student	50
25	181	5	885853415	F	tradesman/craftsman	50
59	196	5	888205088	M	unemployed	56
72	679	2	880037164	F	doctor/health care	56
87	384	4	879877127	F	self-employed	18
290	143	5	880474293	F	scientist	1
42	423	5	881107687	F	executive/managerial	35
292	515	4	881103977	M	unemployed	35
115	20	3	881171009	F	retired	45
